id,copy_id,title,country,year,type,length,crew,text_de,text_en
162189,162191,"verzauberten Tüchlein, die",SZ,1959,Dokumentar,15,Walter Baumgartner,"Rührige Darstellung von Heimstickereien im Appenzellischen.  Idee: W.Belmont, Heinrich Fueter, P.Rot","Documentary on home broderies in Appenzell, Switzerland."
162320,162322,Von Adam zu Lordson,SZ,1960,Werbung,2,Werner Emmisberger,"Werbefilm für den elektrischen Rasierapparat ""Lordson"". Enthält Trickfilmabschnitte diverser Rasiert ...","Advertising the electric shaver ""Lordson""."
162354,162356,Tschu Tschu,SZ,1973,Dokumentar,11,Werner Emmisberger,"Dokumentation über die Marzili Bahn, Bern.   Beinhaltet Cartoon über die Geschichte der Eisenbahn, d ...","Short review of the imaginative history of railways, then presentation of the short and very steep f ..."
162387,354743,"Vidmar ""USA""",,,Werbung,10,,vermutlich 1970er Jahre Arbeitskopie  Werberfilm für das Industrie-Schubladenschranksystem von Vidma ...,
162556,162558,"Cityspots Amsterdam, Athen, Köln, London, New York, Paris",SZ,1978,Trickfilm,10,Werner Emmisberger,Aus dem Nichts entstehen mit wenigen Strichen und grafischen Elementen Bilder bekannter Städte.  Ams ...,Pictures of capital cities develop with a few lines and other graphical elements.
162652,162654,New York,SZ,,Trickfilm,1,Werner Emmisberger,"City Spot zu New York  vertikale und horizontale Linien fügen sich zu Skyline New York zusammen, wer ...",City spot of New York:  Vertical and horizontal lines join themselves to form the skyline of New Yor
162873,162875,A134 Youpi Ya Tamoure,FR,1962,Scopitone,2,Claude Lelouch,Ein Sänger mit Gitarre fährt auf einer Bootsbahn durch einen Freizeitpark. Links und rechts vom Kana ...,A singer with a guitar rides on a boat through a park. Right an left from the channel women with a t ...
162878,162880,École moderne,US,1941,Spielfilm,9,Grantland Rice,"Junge Frauen in einem Park, springen ins Wasser und gehen dort unter Wasser in die Schule. Eine Schü ...",The bell rings for the girls to go to the underwater school. Everybody sits at her place and the tea ...
162881,162883,A136 Un collège anglais,FR,,Scopitone,2,Audrey Arno,Junge Studentinnen tanzen und twisten durch Paris.,Young student girls dance and twist through Paris.
162888,162890,A19 Comme au premier jour,FR,1960,Scopitone,3,Mathé Altéry,Eine blonde Frau singt neben einem Brunnen und im Gartendekor über die Liebe.,A blond woman sings next to a fountain and garden decor about love.
162897,162899,A72 Bon voyage,FR,,Scopitone,2,Henri Salvador,"Mann in weissem Anzug im Hafendekor. Er spricht/singt ziemlich wütend über seine Cousine, welche am  ...","Man in a white suit talks and sings in a angry manner about his leaving cousin and he wishes her a "" ..."
162912,162914,A13 Pour ton amour,FR,,Scopitone,2,Les Barclays,8 Männer und Frauen bewegen sich und singen im Chor auf Weltkugel.,8 men and women move and sing on a globe.
162921,239971,A73 Les Criquets,FR,1961,Scopitone,3,Paola,Eine blonde Lehrerin geht in einem mit Schulaccessoires dekorierten Studio umher und erteilt längst  ...,A blond schoolteacher sings and dances her way through a classroom.
162941,162943,"Postman always rings twice, the",US,1981,Trailer,3,Bob Rafelson,Eines Tages kehrt der Herumtreiber und Tagelöhner Frank Chambers (Jack Nicholson) bei einem abgelege ...,"Frank Chambers (Jack Nicholson) gets a job in a secluded diner, which is  runned by Nick Papadakis a ..."
162959,162961,Dein Herz ist kostbar,SZ,1961,Dokumentar,12,Dr. Hans Zickendraht,Zum Thema Herz- und Kreislaufbeschwerden werden die Ursachen erläutert.  Es wird aufgezeigt welche L ...,The film numerates the causes why we suffer from heart and cardiovascular disease. It's also explain ...
162965,162967,"Screen director, the",US,1951,Dokumentar,9,Richard L. Bare,Dreharbeiten aus der Sicht des Regisseurs.,Report on the work of a screen director.
162968,162970,Two too young,US,1936,Spielfilm,9,Gordon Douglas,"An OUR GANG Comedy Short.  Buckwheat &amp; Porky are simply TWO TOO YOUNG to have firecrackers, but  ...",
162995,162997,Sir Irving and Jeames,US,1956,Trickfilm,7,Seymour Kneitel,Hund als Herr und zweiter Hund als Diener.,One dog is the master and a second one the servant.
